date,open,high,low,close,volume,MovingAverageCrossover_signal,MovingAverageCrossover_binary,RSIStrategy_signal,RSIStrategy_binary,MACDStrategy_signal,MACDStrategy_binary,aggregated_signal,aggregated_binary
2024-09-01 00:00:00,58974.0,59076.59,58900.0,58930.0,289.127,-1,0,0,0,-1,0,0.0,0
2024-09-01 01:00:00,58929.99,58957.0,58819.78,58828.01,330.215,-1,0,0,0,-1,0,0.0,0
2024-09-01 02:00:00,58828.0,58851.65,58276.01,58540.25,1256.776,-1,0,0,0,-1,0,0.0,0
2024-09-01 03:00:00,58540.25,58672.01,58399.01,58524.21,437.883,-1,0,0,0,-1,0,0.0,0
2024-09-01 04:00:00,58524.21,58599.98,58355.0,58442.0,359.591,-1,0,0,0,-1,0,0.0,0
2024-09-01 05:00:00,58442.01,58468.0,57777.0,57986.0,2028.37,-1,0,0,0,-1,0,0.0,0
2024-09-01 06:00:00,57986.0,58298.0,57952.0,58201.1,470.794,-1,0,0,0,-1,0,0.0,0
2024-09-01 07:00:00,58201.11,58500.0,58131.12,58478.64,507.407,-1,0,0,0,-1,0,0.0,0
2024-09-01 08:00:00,58478.64,58504.81,58200.51,58233.99,388.377,-1,0,0,0,-1,0,0.0,0
2024-09-01 09:00:00,58234.0,58400.0,58126.98,58205.0,479.135,-1,0,0,0,-1,0,0.0,0
2024-09-01 10:00:00,58205.0,58222.0,57896.01,57931.0,715.767,-1,0,0,0,-1,0,0.0,0
2024-09-01 11:00:00,57931.0,58250.21,57840.0,58240.52,937.318,-1,0,0,0,-1,0,0.0,0
2024-09-01 12:00:00,58240.51,58320.15,57912.3,58020.0,632.173,-1,0,0,0,-1,0,0.0,0
2024-09-01 13:00:00,58020.01,58215.0,57710.0,58175.01,1244.456,-1,0,0,0,-1,0,0.0,0
2024-09-01 14:00:00,58175.0,58179.0,57201.0,57879.99,2863.16,-1,0,0,0,-1,0,0.0,0
2024-09-01 15:00:00,57879.99,58360.38,57714.35,58217.0,1171.608,-1,0,0,0,-1,0,0.0,0
2024-09-01 16:00:00,58217.0,58350.0,58090.01,58132.06,522.626,-1,0,0,0,-1,0,0.0,0
2024-09-01 17:00:00,58132.07,58201.0,57864.3,58127.98,571.344,-1,0,0,0,-1,0,0.0,0
2024-09-01 18:00:00,58127.98,58788.93,58122.0,58541.1,942.525,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-01 19:00:00,58541.11,58775.0,58292.0,58514.0,632.249,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-01 20:00:00,58514.01,58656.77,58381.1,58431.1,334.872,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-01 21:00:00,58431.1,58431.1,58093.57,58351.11,337.481,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-01 22:00:00,58351.11,58414.0,57232.0,57309.01,1949.03,-1,0,0,0,-1,0,0.0,0
2024-09-01 23:00:00,57309.0,57598.0,57205.0,57301.86,1302.873,-1,0,0,0,-1,0,0.0,0
2024-09-02 00:00:00,57301.77,57650.0,57128.0,57467.24,1254.373,-1,0,0,0,-1,0,0.0,0
2024-09-02 01:00:00,57467.25,57578.99,57242.0,57423.23,1069.888,-1,0,0,0,-1,0,0.0,0
2024-09-02 02:00:00,57423.23,57721.0,57294.0,57509.01,1338.601,-1,0,0,0,-1,0,0.0,0
2024-09-02 03:00:00,57509.01,57767.14,57502.05,57742.01,942.018,-1,0,0,0,-1,0,0.0,0
2024-09-02 04:00:00,57742.0,57766.0,57445.91,57459.51,662.739,-1,0,0,0,-1,0,0.0,0
2024-09-02 05:00:00,57459.51,57987.99,57449.75,57785.01,803.519,-1,0,0,0,-1,0,0.0,0
2024-09-02 06:00:00,57785.0,57883.0,57662.01,57688.0,469.193,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 07:00:00,57688.0,57792.0,57362.06,57547.99,681.155,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 08:00:00,57548.0,58300.0,57520.12,58056.01,1815.849,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 09:00:00,58056.01,58462.0,57901.2,58402.35,1244.824,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 10:00:00,58402.0,58587.0,58293.0,58498.51,1034.965,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 11:00:00,58498.51,58680.76,58349.02,58422.01,976.692,-1,0,0,0,1,1,0.3333333333333333,0
2024-09-02 12:00:00,58422.01,58509.0,58256.1,58393.94,616.468,-1,0,-1,0,1,1,0.3333333333333333,0
2024-09-02 13:00:00,58393.94,58489.0,58149.54,58181.22,720.24,-1,0,0,0,1,1,0.3333333333333333,0
